adversarial_fraction,flip_probability,seed,algorithm,accuracy
0.0,0.8,5011,majority_vote,0.66
0.0,0.8,5011,reputation_weighted,0.7
0.0,0.8,5011,time_decayed,0.84
0.0,0.8,5012,majority_vote,0.56
0.0,0.8,5012,reputation_weighted,0.64
0.0,0.8,5012,time_decayed,0.86
0.0,0.8,5013,majority_vote,0.48
0.0,0.8,5013,reputation_weighted,0.52
0.0,0.8,5013,time_decayed,0.82
0.0,0.8,5014,majority_vote,0.64
0.0,0.8,5014,reputation_weighted,0.66
0.0,0.8,5014,time_decayed,0.74
0.0,0.8,5015,majority_vote,0.58
0.0,0.8,5015,reputation_weighted,0.66
0.0,0.8,5015,time_decayed,0.8
0.0,0.8,5016,majority_vote,0.58
0.0,0.8,5016,reputation_weighted,0.66
0.0,0.8,5016,time_decayed,0.78
0.0,0.8,5017,majority_vote,0.58
0.0,0.8,5017,reputation_weighted,0.6
0.0,0.8,5017,time_decayed,0.82
0.0,0.8,5018,majority_vote,0.66
0.0,0.8,5018,reputation_weighted,0.72
0.0,0.8,5018,time_decayed,0.88
0.0,0.8,5019,majority_vote,0.66
0.0,0.8,5019,reputation_weighted,0.64
0.0,0.8,5019,time_decayed,0.76
0.0,0.8,5020,majority_vote,0.54
0.0,0.8,5020,reputation_weighted,0.58
0.0,0.8,5020,time_decayed,0.8
0.0,0.8,5021,majority_vote,0.48
0.0,0.8,5021,reputation_weighted,0.56
0.0,0.8,5021,time_decayed,0.7
0.0,0.8,5022,majority_vote,0.5
0.0,0.8,5022,reputation_weighted,0.54
0.0,0.8,5022,time_decayed,0.74
0.0,0.8,5023,majority_vote,0.62
0.0,0.8,5023,reputation_weighted,0.64
0.0,0.8,5023,time_decayed,0.74
0.0,0.8,5024,majority_vote,0.58
0.0,0.8,5024,reputation_weighted,0.66
0.0,0.8,5024,time_decayed,0.8
0.0,0.8,5025,majority_vote,0.66
0.0,0.8,5025,reputation_weighted,0.7
0.0,0.8,5025,time_decayed,0.76
0.0,0.8,5026,majority_vote,0.48
0.0,0.8,5026,reputation_weighted,0.58
0.0,0.8,5026,time_decayed,0.6
0.0,0.8,5027,majority_vote,0.6
0.0,0.8,5027,reputation_weighted,0.64
0.0,0.8,5027,time_decayed,0.86
0.0,0.8,5028,majority_vote,0.66
0.0,0.8,5028,reputation_weighted,0.68
0.0,0.8,5028,time_decayed,0.8
0.0,0.8,5029,majority_vote,0.62
0.0,0.8,5029,reputation_weighted,0.7
0.0,0.8,5029,time_decayed,0.84
0.4,0.0,5000,majority_vote,0.46
0.4,0.0,5000,reputation_weighted,0.96
0.4,0.0,5000,time_decayed,0.9
0.4,0.0,5001,majority_vote,0.42
0.4,0.0,5001,reputation_weighted,0.9
0.4,0.0,5001,time_decayed,0.88
0.4,0.0,5002,majority_vote,0.5
0.4,0.0,5002,reputation_weighted,0.98
0.4,0.0,5002,time_decayed,0.9
0.4,0.0,5003,majority_vote,0.56
0.4,0.0,5003,reputation_weighted,0.96
0.4,0.0,5003,time_decayed,0.96
0.4,0.0,5004,majority_vote,0.56
0.4,0.0,5004,reputation_weighted,1.0
0.4,0.0,5004,time_decayed,0.96
0.4,0.0,5005,majority_vote,0.7
0.4,0.0,5005,reputation_weighted,0.98
0.4,0.0,5005,time_decayed,0.94
0.4,0.0,5006,majority_vote,0.5
0.4,0.0,5006,reputation_weighted,0.98
0.4,0.0,5006,time_decayed,0.88
0.4,0.0,5007,majority_vote,0.64
0.4,0.0,5007,reputation_weighted,0.96
0.4,0.0,5007,time_decayed,0.96
0.4,0.0,5008,majority_vote,0.48
0.4,0.0,5008,reputation_weighted,0.94
0.4,0.0,5008,time_decayed,0.88
0.4,0.0,5009,majority_vote,0.64
0.4,0.0,5009,reputation_weighted,1.0
0.4,0.0,5009,time_decayed,0.98
0.4,0.0,5010,majority_vote,0.52
0.4,0.0,5010,reputation_weighted,0.94
0.4,0.0,5010,time_decayed,0.9
0.4,0.0,5011,majority_vote,0.48
0.4,0.0,5011,reputation_weighted,0.96
0.4,0.0,5011,time_decayed,0.94
0.4,0.0,5012,majority_vote,0.62
0.4,0.0,5012,reputation_weighted,1.0
0.4,0.0,5012,time_decayed,0.96
0.4,0.0,5013,majority_vote,0.64
0.4,0.0,5013,reputation_weighted,0.98
0.4,0.0,5013,time_decayed,1.0
0.4,0.0,5014,majority_vote,0.68
0.4,0.0,5014,reputation_weighted,0.98
0.4,0.0,5014,time_decayed,0.98
0.4,0.0,5015,majority_vote,0.54
0.4,0.0,5015,reputation_weighted,0.98
0.4,0.0,5015,time_decayed,0.92
0.4,0.0,5016,majority_vote,0.4
0.4,0.0,5016,reputation_weighted,0.92
0.4,0.0,5016,time_decayed,0.88
0.4,0.0,5017,majority_vote,0.58
0.4,0.0,5017,reputation_weighted,1.0
0.4,0.0,5017,time_decayed,1.0
0.4,0.0,5018,majority_vote,0.56
0.4,0.0,5018,reputation_weighted,0.94
0.4,0.0,5018,time_decayed,0.96
0.4,0.0,5019,majority_vote,0.6
0.4,0.0,5019,reputation_weighted,0.98
0.4,0.0,5019,time_decayed,0.94
0.4,0.0,5020,majority_vote,0.46
0.4,0.0,5020,reputation_weighted,0.98
0.4,0.0,5020,time_decayed,0.94
0.4,0.0,5021,majority_vote,0.52
0.4,0.0,5021,reputation_weighted,1.0
0.4,0.0,5021,time_decayed,0.96
0.4,0.0,5022,majority_vote,0.56
0.4,0.0,5022,reputation_weighted,0.98
0.4,0.0,5022,time_decayed,0.98
0.4,0.0,5023,majority_vote,0.58
0.4,0.0,5023,reputation_weighted,0.96
0.4,0.0,5023,time_decayed,0.92
0.4,0.0,5024,majority_vote,0.52
0.4,0.0,5024,reputation_weighted,0.94
0.4,0.0,5024,time_decayed,0.92
0.4,0.0,5025,majority_vote,0.56
0.4,0.0,5025,reputation_weighted,0.96
0.4,0.0,5025,time_decayed,0.96
0.4,0.0,5026,majority_vote,0.44
0.4,0.0,5026,reputation_weighted,0.94
0.4,0.0,5026,time_decayed,0.92
0.4,0.0,5027,majority_vote,0.48
0.4,0.0,5027,reputation_weighted,0.98
0.4,0.0,5027,time_decayed,0.92
0.4,0.0,5028,majority_vote,0.54
0.4,0.0,5028,reputation_weighted,0.98
0.4,0.0,5028,time_decayed,0.92
0.4,0.0,5029,majority_vote,0.36
0.4,0.0,5029,reputation_weighted,1.0
0.4,0.0,5029,time_decayed,0.9
0.4,0.4,5000,majority_vote,0.44
0.4,0.4,5000,reputation_weighted,0.82
0.4,0.4,5000,time_decayed,0.86
0.4,0.4,5001,majority_vote,0.54
0.4,0.4,5001,reputation_weighted,0.86
0.4,0.4,5001,time_decayed,0.76
